Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
2	4895	Upper rhombic lip	1.000	URL_311	0.711	Rhombencephalon glutamatergic neurons	ReExc_2
314	215	Cerebellar inhibitory	0.986	CBI_307	0.530	Rhombencephalon GABAergic neurons	ReInh_314
315	360	Cerebellar inhibitory	1.000	CBI_306	0.764	Rhombencephalon GABAergic neurons	ReInh_315
310	207	Thalamic excitatory	0.995	Thex_446	0.691	Diencephalon glutamatergic neurons	DeExc_310
311	193	Thalamic excitatory	0.990	Thex_446	0.850	Diencephalon glutamatergic neurons	DeExc_311
312	379	Thalamic excitatory	1.000	Thex_446	0.905	Diencephalon glutamatergic neurons	DeExc_312
309	438	Thalamic excitatory	1.000	Thex_451	0.553	Diencephalon glutamatergic neurons	DeExc_309
307	187	Thalamic excitatory	1.000	Thex_454	0.807	Diencephalon glutamatergic neurons	DeExc_307
308	342	Thalamic excitatory	1.000	Thex_451	0.269	Diencephalon glutamatergic neurons	DeExc_308
303	242	Thalamic excitatory	1.000	Thex_452	0.756	Diencephalon glutamatergic neurons	DeExc_303
304	538	Thalamic excitatory	1.000	Thex_454	0.420	Diencephalon glutamatergic neurons	DeExc_304
282	254	Thalamic excitatory	1.000	Thex_460	1.000	Diencephalon glutamatergic neurons	DeExc_282
283	236	Thalamic excitatory	0.975	Thex_459	0.292	Diencephalon glutamatergic neurons	DeExc_283
284	372	Thalamic excitatory	1.000	Thex_458	0.651	Diencephalon glutamatergic neurons	DeExc_284
31	281	Medium spiny neuron	1.000	MSN_216	0.655	Telencephalon GABAergic neurons	TeInh_LGE_31
28	969	Medium spiny neuron	0.995	MSN_214	0.472	Telencephalon GABAergic neurons	TeInh_LGE_28
32	497	Medium spiny neuron	1.000	MSN_213	0.453	Telencephalon GABAergic neurons	TeInh_LGE_32
33	289	Medium spiny neuron	1.000	MSN_213	0.945	Telencephalon GABAergic neurons	TeInh_LGE_33
27	161	Medium spiny neuron	1.000	MSN_210	0.863	Telencephalon GABAergic neurons	TeInh_LGE_27
15	440	Medium spiny neuron	1.000	MSN_207	0.795	Telencephalon GABAergic neurons	TeInh_LGE_15
35	1002	Medium spiny neuron	1.000	MSN_209	0.414	Telencephalon GABAergic neurons	TeInh_LGE_35
40	705	Medium spiny neuron	1.000	MSN_207	0.597	Telencephalon GABAergic neurons	TeInh_LGE_40
42	314	Medium spiny neuron	0.997	MSN_211	0.895	Telencephalon GABAergic neurons	TeInh_LGE_42
43	310	Medium spiny neuron	1.000	MSN_212	0.787	Telencephalon GABAergic neurons	TeInh_LGE_43
269	155	Eccentric medium spiny neuron	1.000	EMSN_228	0.794	Telencephalon GABAergic neurons	TeInh_LGE_269
270	339	Eccentric medium spiny neuron	0.997	EMSN_226	0.569	Telencephalon GABAergic neurons	TeInh_LGE_270
271	305	Eccentric medium spiny neuron	0.679	EMSN_230	0.259	Telencephalon GABAergic neurons	TeInh_LGE_271
272	238	Eccentric medium spiny neuron	1.000	EMSN_232	0.399	Telencephalon GABAergic neurons	TeInh_LGE_272
273	230	Eccentric medium spiny neuron	1.000	EMSN_234	0.465	Telencephalon GABAergic neurons	TeInh_LGE_273
257	262	Eccentric medium spiny neuron	0.615	MSN_221	0.366	Telencephalon GABAergic neurons	TeInh_LGE_257
268	256	Eccentric medium spiny neuron	1.000	EMSN_224	0.402	Telencephalon GABAergic neurons	TeInh_LGE_268
274	224	Medium spiny neuron	1.000	MSN_219	0.996	Telencephalon GABAergic neurons	TeInh_LGE_274
278	309	Medium spiny neuron	0.945	MSN_217	0.531	Telencephalon GABAergic neurons	TeInh_LGE_278
279	255	Medium spiny neuron	0.996	MSN_218	0.533	Telencephalon GABAergic neurons	TeInh_LGE_279
112	788	Hippocampal dentate gyrus	1.000	DG_204	0.431	Telencephalon glutamatergic neurons	TeExc_Hippocampus_112
565	259	Hippocampal dentate gyrus	1.000	DG_200	0.865	Telencephalon glutamatergic neurons	TeExc_Hippocampus_565
144	261	Hippocampal dentate gyrus	1.000	DG_200	0.954	Telencephalon glutamatergic neurons	TeExc_Hippocampus_144
149	1429	Hippocampal dentate gyrus	1.000	DG_201	0.481	Telencephalon glutamatergic neurons	TeExc_Hippocampus_149
254	267	Miscellaneous	0.906	L5ET_117	0.438	Telencephalon glutamatergic neurons	TeExc_254
255	279	Hippocampal CA1-3	1.000	CA13_119	0.957	Telencephalon glutamatergic neurons	TeExc_Hippocampus_255
158	1361	Hippocampal CA1-3	1.000	CA13_180	0.408	Telencephalon glutamatergic neurons	TeExc_Hippocampus_158
159	373	Hippocampal CA1-3	0.997	CA13_186	0.485	Telencephalon glutamatergic neurons	TeExc_Hippocampus_159
156	299	Hippocampal CA1-3	0.977	CA13_179	0.401	Telencephalon glutamatergic neurons	TeExc_Hippocampus_156
160	580	Hippocampal CA1-3	1.000	CA13_183	0.333	Telencephalon glutamatergic neurons	TeExc_Hippocampus_160
154	259	Hippocampal CA4	0.996	CA4_195	0.278	Telencephalon glutamatergic neurons	TeExc_Hippocampus_154
155	158	Hippocampal CA4	1.000	CA4_197	0.316	Telencephalon glutamatergic neurons	TeExc_Hippocampus_155
247	314	Deep-layer corticothalamic and 6b	0.997	DLCT6b_105	0.462	Telencephalon glutamatergic neurons	TeExc_247
248	300	Deep-layer corticothalamic and 6b	1.000	DLCT6b_106	0.763	Telencephalon glutamatergic neurons	TeExc_248
105	268	Deep-layer corticothalamic and 6b	0.993	DLCT6b_98	0.418	Telencephalon glutamatergic neurons	TeExc_105
246	418	Deep-layer corticothalamic and 6b	0.998	DLCT6b_101	0.249	Telencephalon glutamatergic neurons	TeExc_246
249	167	Deep-layer corticothalamic and 6b	0.892	DLCT6b_112	0.629	Telencephalon glutamatergic neurons	TeExc_249
251	529	Deep-layer corticothalamic and 6b	1.000	DLCT6b_110	0.469	Telencephalon glutamatergic neurons	TeExc_251
104	196	Deep-layer corticothalamic and 6b	0.985	DLCT6b_108	0.388	Telencephalon glutamatergic neurons	TeExc_104
253	621	Deep-layer corticothalamic and 6b	1.000	DLCT6b_109	0.517	Telencephalon glutamatergic neurons	TeExc_253
110	203	Deep-layer corticothalamic and 6b	0.995	DLCT6b_84	0.931	Telencephalon glutamatergic neurons	TeExc_110
107	253	Deep-layer near-projecting	0.992	DLNP_88	0.233	Telencephalon glutamatergic neurons	TeExc_107
108	487	Deep-layer near-projecting	1.000	DLNP_94	0.170	Telencephalon glutamatergic neurons	TeExc_108
170	454	Deep-layer intratelencephalic	1.000	DLIT_150	0.716	Telencephalon glutamatergic neurons	TeExc_170
169	475	Deep-layer intratelencephalic	1.000	DLIT_151	0.691	Telencephalon glutamatergic neurons	TeExc_169
172	418	Deep-layer intratelencephalic	1.000	DLIT_151	0.610	Telencephalon glutamatergic neurons	TeExc_172
95	339	Deep-layer intratelencephalic	0.985	DLIT_137	0.938	Telencephalon glutamatergic neurons	TeExc_95
96	304	Deep-layer intratelencephalic	0.970	DLIT_137	0.954	Telencephalon glutamatergic neurons	TeExc_96
79	348	Deep-layer intratelencephalic	0.994	DLIT_142	0.549	Telencephalon glutamatergic neurons	TeExc_79
231	749	Deep-layer intratelencephalic	0.972	DLIT_143	0.362	Telencephalon glutamatergic neurons	TeExc_231
78	1316	Deep-layer intratelencephalic	0.998	DLIT_144	0.602	Telencephalon glutamatergic neurons	TeExc_78
81	707	Deep-layer intratelencephalic	0.999	DLIT_141	0.492	Telencephalon glutamatergic neurons	TeExc_81
84	741	Deep-layer intratelencephalic	0.999	DLIT_139	0.821	Telencephalon glutamatergic neurons	TeExc_84
86	244	Deep-layer intratelencephalic	1.000	DLIT_139	0.922	Telencephalon glutamatergic neurons	TeExc_86
103	263	Upper-layer intratelencephalic	0.973	ULIT_138	0.852	Telencephalon glutamatergic neurons	TeExc_103
100	1834	Upper-layer intratelencephalic	0.997	ULIT_138	0.980	Telencephalon glutamatergic neurons	TeExc_100
98	206	Upper-layer intratelencephalic	0.966	ULIT_138	0.927	Telencephalon glutamatergic neurons	TeExc_98
88	641	Upper-layer intratelencephalic	0.991	ULIT_135	0.939	Telencephalon glutamatergic neurons	TeExc_88
90	333	Upper-layer intratelencephalic	0.940	ULIT_135	0.640	Telencephalon glutamatergic neurons	TeExc_90
45	316	Upper-layer intratelencephalic	0.870	ULIT_133	0.785	Telencephalon glutamatergic neurons	TeExc_45
69	397	Upper-layer intratelencephalic	0.935	ULIT_133	0.403	Telencephalon glutamatergic neurons	TeExc_69
70	228	Upper-layer intratelencephalic	1.000	ULIT_133	0.807	Telencephalon glutamatergic neurons	TeExc_70
66	381	Upper-layer intratelencephalic	0.751	ULIT_130	0.205	Telencephalon glutamatergic neurons	TeExc_66
71	264	Upper-layer intratelencephalic	1.000	ULIT_128	0.530	Telencephalon glutamatergic neurons	TeExc_71
73	337	Upper-layer intratelencephalic	1.000	ULIT_134	0.576	Telencephalon glutamatergic neurons	TeExc_73
76	504	Upper-layer intratelencephalic	0.996	ULIT_129	0.440	Telencephalon glutamatergic neurons	TeExc_76
97	152	Miscellaneous	0.928	Misc_177	0.645	Telencephalon glutamatergic neurons	TeExc_97
173	223	Miscellaneous	0.991	Misc_165	0.413	Telencephalon glutamatergic neurons	TeExc_173
174	274	Amygdala excitatory	0.996	Amex_172	0.697	Telencephalon glutamatergic neurons	TeExc_Amygdala_174
175	225	Amygdala excitatory	1.000	Amex_172	0.698	Telencephalon glutamatergic neurons	TeExc_Amygdala_175
188	357	Amygdala excitatory	1.000	Amex_155	0.588	Telencephalon glutamatergic neurons	TeExc_Amygdala_188
189	369	Amygdala excitatory	1.000	Amex_155	0.634	Telencephalon glutamatergic neurons	TeExc_Amygdala_189
